MedicineName,Old price,NewPrice,Quantity,Stars,Rating,Discount,Description
Kapiva Pure Aloe Vera Skin Gel - Hydrating Gel for Face,₹450,₹252,0,4.4,(773),44% off,Lowest price in the year
Vansaar Shilajit Resin Performance Booster|15 gm ( from...,"₹1,499",₹724,0,4,(4),51% off,"Buy 3 items, save extra 5%"
"VITASTA Josh Plus Ayurvedic Capsule for Long,Time,Stami...","₹1,999",₹271,0,0,0,86% off,Bank Offer
Riffway Golden Jack Organic Tablet Makes Orgasm Powerfu...,₹999,₹136,0,0,0,86% off,"Buy 3 items, save extra 5%"
Dr. Vaidya's Shilajit Gold and Shilajit Oil For Extra P...,₹950,₹584,0,3.9,(305),38% off,Bank Offer
Dabur Chyawanprakash,₹415,₹280,900 g,4.5,"(15,153)",32% off,#2 Rated
N2B AYURVEDA Sanda oil 30ml & Testosteron Support 30 Ca...,"₹3,498",₹565,Pack of 2,5,(5),83% off,Bank Offer
INTIMIFY Herbal Oil Japani 1sex Power Men Booster Big P...,₹599,₹210,0,3.6,(15),64% off,Bank Offer
RENGLOW Stretch Marks Scar Removal cream oil for Men bi...,₹499,₹203,0,0,0,59% off,Bank Offer
Fasczo Wellness Sex Oil Long Time | Sexual Oil Boosts Y...,₹699,₹278,0,0,0,60% off,Bank Offer
Kapiva Hair Care Juice| For Hair Nourishment from Withi...,"₹1,398",₹753,Pack of 2,4.1,(810),46% off,Bank Offer
Dabur Chyawanprash Awaleha,0,₹395,0,4.5,"(56,430)",0,#2 Rated
Geo Herb Majoon Zoravar Special for Men (150g),₹490,₹359,0,4.1,(57),26% off,Bank Offer
Dabur Chyawanprash -1.5 kg,₹535,₹385,0,4.4,"(1,209)",28% off,"Buy 3 items, save extra 5%"
Kapiva Amla Juice Pack of 2 | Boosts Skin & Hair Health,₹598,₹339,Pack of 2,4.3,(86),43% off,"Buy 3 items, save extra 5%"
Gynoveda Women 16+ Skin Repair. AMLA Ayurvedic Tablets....,₹700,₹179,0,3.9,(40),74% off,"Buy 3 items, save extra 5%"
"MOOV Instant Pain Relief Cream Regular - 30 g, Pack of ...",₹405,₹291,3 x 30 g,4.5,"(1,721)",28% off,#5 Rated
Kapiva Rose Skin Rituals | Skin Foods Glow Mix + Rose W...,"₹1,598",₹539,0,4.1,(24),66% off,"Buy 3 items, save extra 5%"
"Dr. Vaidya's Muscle Builder Pack | Herbobuild x 1, Ashw...",₹499,₹240,Pack of 2,4.2,(207),51% off,"Buy 3 items, save extra 5%"
"INTIMIFY Beard oil advanced for men fast growth, Mousta...",₹599,₹146,0,4.5,(83),75% off,Bank Offer
